model,task,metric,layer,init,n_seeds,pre_mean,rnd_mean,mean,delta,ci_lo,ci_hi,q_value,per_seed_delta
olmo2_13b,P10_changepoint_location,balanced_accuracy,p75,pretrained_minus_random,3,0.3452,0.3623,0.3452,-0.0171,-0.0599,0.0601,,s7:-0.052;s17:+0.060;s27:-0.060
olmo2_13b,P10_changepoint_location,macro_f1,p75,pretrained_minus_random,3,0.3201,0.3409,0.3201,-0.0208,-0.0579,0.0245,,s7:-0.058;s17:+0.025;s27:-0.029
olmo2_13b,P1_trend_direction,balanced_accuracy,p75,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
olmo2_13b,P1_trend_direction,macro_f1,p75,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
olmo2_13b,P2_trend_strength,balanced_accuracy,p75,pretrained_minus_random,3,0.3916,0.3369,0.3916,0.0546,0.0192,0.0939,,s7:+0.094;s17:+0.051;s27:+0.019
olmo2_13b,P2_trend_strength,macro_f1,p75,pretrained_minus_random,3,0.3792,0.3285,0.3792,0.0507,0.0016,0.0909,,s7:+0.091;s17:+0.060;s27:+0.002
olmo2_13b,P2b_trend_strength_reg,r2,p75,pretrained_minus_random,3,-0.1534,-0.3312,-0.1534,0.1778,0.0806,0.3095,,s7:+0.143;s17:+0.081;s27:+0.310
olmo2_13b,P2b_trend_strength_reg,nmae,p75,pretrained_minus_random,3,0.8513,0.9393,0.8513,-0.088,-0.1574,-0.0254,,s7:-0.081;s17:-0.025;s27:-0.157
olmo2_13b,P3_periodicity_present,balanced_accuracy,p75,pretrained_minus_random,3,0.9819,0.9819,0.9819,-0.0,-0.0021,0.0021,,s7:+0.002;s17:-0.002;s27:+0.000
olmo2_13b,P3_periodicity_present,macro_f1,p75,pretrained_minus_random,3,0.9813,0.9823,0.9813,-0.001,-0.0061,0.0031,,s7:+0.003;s17:-0.006;s27:+0.000
olmo2_13b,P4_dominant_period,balanced_accuracy,p75,pretrained_minus_random,3,0.8285,0.3724,0.8285,0.4562,0.4289,0.4983,,s7:+0.441;s17:+0.429;s27:+0.498
olmo2_13b,P4_dominant_period,macro_f1,p75,pretrained_minus_random,3,0.8284,0.3634,0.8284,0.465,0.4433,0.5069,,s7:+0.445;s17:+0.443;s27:+0.507
olmo2_13b,P4b_dominant_period_reg,r2,p75,pretrained_minus_random,3,0.971,0.7488,0.971,0.2222,0.2078,0.2379,,s7:+0.238;s17:+0.221;s27:+0.208
olmo2_13b,P4b_dominant_period_reg,nmae,p75,pretrained_minus_random,3,0.1252,0.3936,0.1252,-0.2683,-0.2825,-0.2583,,s7:-0.282;s17:-0.264;s27:-0.258
olmo2_13b,P5_local_dependence,balanced_accuracy,p75,pretrained_minus_random,3,0.5083,0.3584,0.5083,0.1499,0.0844,0.2165,,s7:+0.149;s17:+0.084;s27:+0.217
olmo2_13b,P5_local_dependence,macro_f1,p75,pretrained_minus_random,3,0.4976,0.3499,0.4976,0.1477,0.084,0.2093,,s7:+0.150;s17:+0.084;s27:+0.209
olmo2_13b,P5b_local_dependence_reg,r2,p75,pretrained_minus_random,3,0.4185,-0.0476,0.4185,0.4661,0.3533,0.6673,,s7:+0.378;s17:+0.353;s27:+0.667
olmo2_13b,P5b_local_dependence_reg,nmae,p75,pretrained_minus_random,3,0.601,0.8288,0.601,-0.2278,-0.3103,-0.1731,,s7:-0.173;s17:-0.200;s27:-0.310
olmo2_13b,P6_noise_level,balanced_accuracy,p75,pretrained_minus_random,3,0.5299,0.4611,0.5299,0.0688,0.0197,0.0998,,s7:+0.100;s17:+0.020;s27:+0.087
olmo2_13b,P6_noise_level,macro_f1,p75,pretrained_minus_random,3,0.5269,0.457,0.5269,0.0699,0.0224,0.0954,,s7:+0.095;s17:+0.022;s27:+0.092
olmo2_13b,P7_anomaly_present,balanced_accuracy,p75,pretrained_minus_random,3,0.7695,0.6406,0.7695,0.1289,0.1094,0.168,,s7:+0.168;s17:+0.109;s27:+0.109
olmo2_13b,P7_anomaly_present,macro_f1,p75,pretrained_minus_random,3,0.7683,0.6354,0.7683,0.1329,0.1115,0.1739,,s7:+0.174;s17:+0.111;s27:+0.113
olmo2_13b,P8_anomaly_location,balanced_accuracy,p75,pretrained_minus_random,3,0.204,0.1607,0.204,0.0432,0.0177,0.0771,,s7:+0.035;s17:+0.018;s27:+0.077
olmo2_13b,P8_anomaly_location,macro_f1,p75,pretrained_minus_random,3,0.1926,0.1555,0.1926,0.0371,0.0198,0.0586,,s7:+0.033;s17:+0.020;s27:+0.059
olmo2_13b,P9_changepoint_present,balanced_accuracy,p75,pretrained_minus_random,3,0.9675,0.9727,0.9675,-0.0052,-0.0234,0.0195,,s7:+0.020;s17:-0.012;s27:-0.023
olmo2_13b,P9_changepoint_present,macro_f1,p75,pretrained_minus_random,3,0.9674,0.9726,0.9674,-0.0052,-0.0234,0.0196,,s7:+0.020;s17:-0.012;s27:-0.023
olmo2_13b,P10_changepoint_location,balanced_accuracy,final,pretrained_minus_random,3,0.3709,0.3718,0.3709,-0.0008,-0.0807,0.0575,,s7:+0.057;s17:+0.021;s27:-0.081
olmo2_13b,P10_changepoint_location,macro_f1,final,pretrained_minus_random,3,0.3451,0.3512,0.3451,-0.0062,-0.0668,0.0603,,s7:+0.060;s17:-0.012;s27:-0.067
olmo2_13b,P1_trend_direction,balanced_accuracy,final,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
olmo2_13b,P1_trend_direction,macro_f1,final,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
olmo2_13b,P2_trend_strength,balanced_accuracy,final,pretrained_minus_random,3,0.3977,0.3329,0.3977,0.0648,0.0576,0.0701,,s7:+0.070;s17:+0.058;s27:+0.067
olmo2_13b,P2_trend_strength,macro_f1,final,pretrained_minus_random,3,0.3935,0.3256,0.3935,0.0679,0.0653,0.0697,,s7:+0.070;s17:+0.065;s27:+0.069
olmo2_13b,P2b_trend_strength_reg,r2,final,pretrained_minus_random,3,-0.0514,-0.3395,-0.0514,0.2881,0.1802,0.375,,s7:+0.309;s17:+0.180;s27:+0.375
olmo2_13b,P2b_trend_strength_reg,nmae,final,pretrained_minus_random,3,0.8205,0.9432,0.8205,-0.1227,-0.1604,-0.0789,,s7:-0.129;s17:-0.079;s27:-0.160
olmo2_13b,P3_periodicity_present,balanced_accuracy,final,pretrained_minus_random,3,0.9854,0.9799,0.9854,0.0056,0.0021,0.0104,,s7:+0.010;s17:+0.004;s27:+0.002
